,Drug,Category,Info
0,1-Androstenediol,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
1,1-Androstenedione,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
2,Bolandiol,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
3,Bolasterone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
4,Boldenone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
5,Boldione,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
6,Calusterone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
7,Clostebol,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
8,Danazol,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
9,Dehydrochlormethyltestosterone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
10,Desoxymethyltestosterone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
11,Drostanolone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
12,Ethylestrenol,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
13,Fluoxymesterone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
14,Formebolone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
15,Furazabol,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
16,Gestrinone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
17,4-Hydroxytestosterone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
18,Mestanolone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
19,Mesterolone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
20,Metenolone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
21,Methandienone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
22,Methandriol,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
23,Methasterone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
24,Methyldienolone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
25,Methyl-1-testosterone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
26,Methylnortestosterone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
27,Methyltestosterone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
28,Metribolone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
29,Mibolerone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
30,Nandrolone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
31,19-Norandrostenedione,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
32,Norboletone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
33,Norclostebol,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
34,Norethandrolone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
35,Oxabolone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
36,Oxandrolone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
37,Oxymesterone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
38,Oxymetholone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
39,Prostanozol,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
40,Quinbolone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
41,Stanozolol,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
42,Stenbolone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
43,1-Testosterone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
44,Tetrahydrogestrinone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
45,Trenbolone,Exogenous anabolic androgenic steroids,"This is a exogenous (non-natural) androgenic agent banned in sports as of January 1, 2012"
